,fullyLoaded,bytesIn,requests,bytes.html,requests.html,bytes.js,requests.js,bytes.css,requests.css,bytes.image,requests.image,bytes.font,requests.font,bytes.video,requests.video,bytes.other,requests.other,id
682,10254.0,3030552.0,43.0,8897.0,1.0,220449.0,3.0,22833.0,1.0,2346369.0,31.0,424976.0,4.0,0.0,0.0,2742.0,2.0,221010_7Y_RN
683,10985.0,1149632.0,65.0,23585.0,7.0,563055.0,23.0,12313.0,3.0,350175.0,14.0,171661.0,2.0,0.0,0.0,28843.0,16.0,221010_WT_RP
684,10614.0,1550227.0,42.0,113943.0,1.0,477685.0,14.0,0.0,0.0,301887.0,14.0,314360.0,5.0,293683.0,1.0,48669.0,7.0,221010_E9_RS
685,28734.0,2690631.0,180.0,112434.0,23.0,2042303.0,63.0,75207.0,9.0,413814.0,36.0,41856.0,3.0,0.0,0.0,4810.0,45.0,221010_3R_RT
686,17836.0,1422553.0,101.0,48599.0,2.0,1084624.0,26.0,0.0,0.0,263185.0,44.0,22068.0,2.0,0.0,0.0,3327.0,26.0,221010_NC_RV
687,21425.0,1566571.0,146.0,115803.0,20.0,1196622.0,51.0,18419.0,7.0,122792.0,33.0,56508.0,3.0,0.0,0.0,56427.0,21.0,221010_ET_RW
688,4872.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_JF_RX
689,45929.0,1137054.0,437.0,133906.0,86.0,876245.0,30.0,6288.0,2.0,69606.0,115.0,17188.0,1.0,0.0,0.0,32671.0,176.0,221010_RA_RY
690,5276.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_WZ_RZ
691,32708.0,1709528.0,90.0,55874.0,13.0,959952.0,41.0,241490.0,3.0,162593.0,16.0,273499.0,2.0,0.0,0.0,16120.0,15.0,221010_81_S0
692,11573.0,3168358.0,78.0,19181.0,4.0,928441.0,5.0,108400.0,2.0,1704457.0,57.0,404552.0,5.0,0.0,0.0,3327.0,5.0,221010_GT_S1
693,40803.0,16260751.0,274.0,355864.0,16.0,4959101.0,51.0,659497.0,8.0,9970633.0,158.0,237428.0,6.0,0.0,0.0,78228.0,35.0,221010_8X_S2
694,12806.0,919591.0,60.0,24697.0,2.0,770313.0,25.0,12429.0,5.0,96063.0,18.0,0.0,0.0,0.0,0.0,16089.0,10.0,221010_9R_S4
695,7646.0,654411.0,37.0,104388.0,1.0,88496.0,6.0,34278.0,9.0,124047.0,8.0,300392.0,10.0,0.0,0.0,2810.0,3.0,221010_W2_S5
696,18355.0,5334259.0,65.0,42607.0,5.0,2538513.0,10.0,396395.0,2.0,276104.0,14.0,115179.0,3.0,0.0,0.0,1965461.0,31.0,221010_NY_S6
697,1012.0,11522.0,3.0,8277.0,1.0,0.0,0.0,2604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221010_T5_S7
698,11872.0,427465.0,29.0,67933.0,4.0,91906.0,14.0,91557.0,2.0,21668.0,4.0,151764.0,3.0,0.0,0.0,2637.0,2.0,221010_RG_S8
699,47891.0,8800136.0,84.0,111418.0,6.0,6836651.0,17.0,148343.0,3.0,831323.0,31.0,50674.0,3.0,735544.0,7.0,86183.0,16.0,221010_TS_S9
700,25216.0,6742281.0,134.0,97557.0,5.0,1084058.0,51.0,128237.0,13.0,5329424.0,50.0,98692.0,6.0,0.0,0.0,4313.0,9.0,221010_F0_SA
701,14436.0,1834163.0,74.0,17274.0,3.0,263996.0,16.0,104252.0,14.0,1207237.0,25.0,237144.0,9.0,0.0,0.0,2647.0,6.0,221010_YV_SC
702,6133.0,260393.0,25.0,7788.0,2.0,70590.0,8.0,10958.0,5.0,168454.0,7.0,0.0,0.0,0.0,0.0,2603.0,2.0,221010_6S_SD
703,28035.0,2834370.0,141.0,72955.0,15.0,833225.0,40.0,88580.0,15.0,1363852.0,56.0,471765.0,7.0,0.0,0.0,2843.0,7.0,221010_QX_SG
704,76172.0,7291557.0,1090.0,531052.0,183.0,2029398.0,58.0,80507.0,7.0,4270991.0,373.0,293607.0,5.0,0.0,0.0,86002.0,464.0,221010_9W_SJ
705,11258.0,252254.0,15.0,52131.0,5.0,157589.0,3.0,19970.0,1.0,19903.0,4.0,0.0,0.0,0.0,0.0,2661.0,2.0,221010_V2_SK
706,55404.0,6968752.0,417.0,193853.0,46.0,2283725.0,80.0,134381.0,6.0,4074295.0,155.0,225252.0,6.0,0.0,0.0,53462.0,122.0,221010_1B_SM
707,42631.0,16347717.0,162.0,156853.0,3.0,1177047.0,49.0,141595.0,19.0,14779477.0,68.0,70044.0,9.0,0.0,0.0,22701.0,14.0,221010_JV_SN
708,120169.0,488491.0,68.0,7241.0,48.0,57058.0,4.0,39343.0,3.0,222386.0,7.0,158760.0,2.0,0.0,0.0,3703.0,3.0,221010_8B_SP
709,27584.0,2250323.0,209.0,46514.0,8.0,1092112.0,50.0,9433.0,6.0,911899.0,88.0,165416.0,11.0,0.0,0.0,24949.0,43.0,221010_Q7_SQ
710,27862.0,1071656.0,151.0,78812.0,31.0,624478.0,43.0,24320.0,3.0,282887.0,55.0,42912.0,2.0,0.0,0.0,14473.0,14.0,221010_YE_SR
711,4652.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_KS_SS
712,11661.0,380683.0,37.0,4430.0,3.0,60223.0,5.0,2239.0,1.0,310704.0,25.0,0.0,0.0,0.0,0.0,3087.0,3.0,221010_FP_ST
713,16015.0,1126841.0,100.0,335106.0,30.0,741499.0,33.0,3257.0,5.0,2558.0,15.0,30416.0,2.0,0.0,0.0,14005.0,15.0,221010_PR_SV
714,12276.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_VK_SW
715,77025.0,2607943.0,107.0,36163.0,2.0,522195.0,20.0,124162.0,2.0,1746481.0,69.0,143176.0,3.0,0.0,0.0,3728.0,10.0,221010_9E_SX
716,36391.0,2588688.0,127.0,449881.0,5.0,555675.0,20.0,0.0,0.0,1478352.0,69.0,9780.0,1.0,0.0,0.0,95000.0,31.0,221010_J8_SZ
717,13933.0,2490298.0,66.0,18515.0,1.0,392299.0,21.0,121762.0,13.0,1768730.0,21.0,148376.0,3.0,0.0,0.0,2657.0,6.0,221010_94_T0
718,22251.0,2427263.0,76.0,29392.0,9.0,734501.0,19.0,64509.0,3.0,1557265.0,32.0,27044.0,3.0,0.0,0.0,13536.0,9.0,221010_TW_T1
719,31990.0,12905608.0,98.0,78550.0,2.0,1227687.0,60.0,176913.0,1.0,11282662.0,20.0,136288.0,4.0,0.0,0.0,3508.0,9.0,221010_5S_T2
720,47483.0,2217144.0,451.0,131865.0,66.0,1554724.0,54.0,6696.0,7.0,370074.0,56.0,0.0,0.0,0.0,0.0,153785.0,267.0,221010_65_T3
721,17149.0,187293.0,22.0,17597.0,10.0,114915.0,4.0,744.0,2.0,51393.0,3.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_XV_T4
722,11256.0,1356993.0,46.0,41534.0,2.0,395422.0,16.0,17202.0,4.0,614166.0,12.0,285900.0,8.0,0.0,0.0,2769.0,4.0,221010_6N_T5
723,14379.0,1124990.0,52.0,22094.0,2.0,211661.0,23.0,100255.0,6.0,512053.0,9.0,276280.0,8.0,0.0,0.0,2647.0,4.0,221010_AP_T6
724,12356.0,1260004.0,73.0,24898.0,1.0,451153.0,29.0,146655.0,25.0,464652.0,11.0,169632.0,4.0,0.0,0.0,3014.0,3.0,221010_KY_T7
725,23252.0,3060243.0,83.0,1391878.0,2.0,701914.0,20.0,102762.0,2.0,697092.0,32.0,127224.0,8.0,0.0,0.0,24287.0,18.0,221010_80_T8
726,41530.0,16380615.0,96.0,34816.0,3.0,621721.0,21.0,49891.0,10.0,13710401.0,38.0,154212.0,5.0,0.0,0.0,1807550.0,13.0,221010_26_T9
727,7302.0,1081949.0,34.0,7253.0,4.0,45995.0,3.0,24419.0,4.0,967826.0,15.0,28124.0,2.0,0.0,0.0,8332.0,4.0,221010_GB_TB
728,1797.0,7532.0,3.0,4928.0,1.0,0.0,0.0,2604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221010_0V_TC
729,11214.0,964676.0,70.0,23067.0,2.0,479097.0,15.0,29041.0,1.0,361260.0,41.0,25896.0,2.0,0.0,0.0,46315.0,9.0,221010_13_TD
730,12304.0,1245847.0,36.0,18932.0,2.0,1072517.0,21.0,23187.0,1.0,127974.0,4.0,0.0,0.0,0.0,0.0,3237.0,7.0,221010_C3_TE
731,21175.0,2876211.0,62.0,23371.0,4.0,265677.0,10.0,9086.0,3.0,2575141.0,42.0,0.0,0.0,0.0,0.0,2776.0,2.0,221010_J5_TF
732,26233.0,8866243.0,60.0,29510.0,3.0,6187687.0,27.0,456421.0,2.0,1861469.0,13.0,313664.0,7.0,0.0,0.0,16342.0,7.0,221010_AR_TG
733,9969.0,1396695.0,79.0,15409.0,1.0,993181.0,48.0,36862.0,10.0,263953.0,10.0,67924.0,3.0,0.0,0.0,19366.0,7.0,221010_6K_TH
734,4879.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_WH_TJ
